trip_id,start_time,end_time,headway_secs,exact_times
33405A690B2226,07:30:00,23:15:00,1200,1
33405A690B2154,07:30:00,23:15:00,1200,1
33407A691B2156,07:30:00,24:15:00,1200,1
33407A691B2140,07:30:00,24:15:00,1200,1
33423A689B2230,06:30:00,24:15:00,1200,1
33423A689B2228,06:30:00,24:15:00,1200,1
33423A689B2227,06:30:00,24:15:00,1200,1
33423A689B2224,06:30:00,24:15:00,1200,1
33423A689B2162,06:30:00,24:15:00,1200,1
33423A689B2160,06:30:00,24:15:00,1200,1
33423A689B2157,06:30:00,24:15:00,1200,1
33432A693B2225,07:30:00,22:15:00,1200,1
33426A690B2226,07:30:00,23:15:00,1200,1
33426A690B2154,07:30:00,23:15:00,1200,1
33428A691B2156,07:30:00,24:15:00,1200,1
33428A691B2140,07:30:00,24:15:00,1200,1
33434A694B2161,07:30:00,21:15:00,1200,1
33430A692B2163,08:30:00,21:15:00,1200,1
33430A692B2141,08:30:00,21:15:00,1200,1
33430A692B2139,08:30:00,21:15:00,1200,1
33444A689B2230,06:30:00,24:15:00,1200,1
33444A689B2228,06:30:00,24:15:00,1200,1
33444A689B2227,06:30:00,24:15:00,1200,1
33444A689B2224,06:30:00,24:15:00,1200,1
33444A689B2162,06:30:00,24:15:00,1200,1
33444A689B2160,06:30:00,24:15:00,1200,1
33444A689B2157,06:30:00,24:15:00,1200,1
33455A693B2225,07:30:00,22:15:00,1200,1
33447A690B2226,07:30:00,23:15:00,1200,1
33447A690B2154,07:30:00,23:15:00,1200,1
33449A691B2156,07:30:00,24:15:00,1200,1
33449A691B2140,07:30:00,24:15:00,1200,1
33453A694B2161,07:30:00,21:15:00,1200,1
33451A692B2163,08:30:00,21:15:00,1200,1
33451A692B2141,08:30:00,21:15:00,1200,1
33451A692B2139,08:30:00,21:15:00,1200,1
34136A691B2156,07:30:00,24:05:00,1800,1
34136A691B2140,07:30:00,24:05:00,1800,1
34132A693B2225,07:30:00,22:05:00,1800,1
33467A690B2226,07:30:00,23:05:00,1800,1
33467A690B2154,07:30:00,23:05:00,1800,1
34137A694B2161,07:30:00,21:05:00,1800,1
34140A692B2163,08:30:00,21:05:00,1800,1
34140A692B2141,08:30:00,21:05:00,1800,1
34140A692B2139,08:30:00,21:05:00,1800,1
34156A688B2229,07:00:00,22:05:00,3600,1
34156A688B2159,07:00:00,22:05:00,3600,1
34156A688B2158,07:00:00,22:05:00,3600,1
33486A689B2230,06:45:00,23:50:00,1800,1
33486A689B2228,06:45:00,23:50:00,1800,1
33486A689B2227,06:45:00,23:50:00,1800,1
33486A689B2224,06:45:00,23:50:00,1800,1
33486A689B2162,06:45:00,23:50:00,1800,1
33486A689B2160,06:45:00,23:50:00,1800,1
33486A689B2157,06:45:00,23:50:00,1800,1
33495A693B2225,06:45:00,21:50:00,3600,1
33489A690B2226,07:45:00,22:50:00,1800,1
33489A690B2154,07:45:00,22:50:00,1800,1
33491A691B2156,07:45:00,23:50:00,1800,1
33491A691B2140,07:45:00,23:50:00,1800,1
33497A694B2161,07:45:00,20:50:00,1800,1
33493A692B2163,08:45:00,20:50:00,1800,1
33493A692B2141,08:45:00,20:50:00,1800,1
33493A692B2139,08:45:00,20:50:00,1800,1
34158A689B2230,07:00:00,23:05:00,3600,1
34158A689B2228,07:00:00,23:05:00,3600,1
34158A689B2227,07:00:00,23:05:00,3600,1
34158A689B2224,07:00:00,23:05:00,3600,1
34158A689B2162,07:00:00,23:05:00,3600,1
34158A689B2160,07:00:00,23:05:00,3600,1
34158A689B2157,07:00:00,23:05:00,3600,1
34164A691B2156,08:00:00,23:05:00,3600,1
34164A691B2140,08:00:00,23:05:00,3600,1
33516A693B2225,08:00:00,21:05:00,3600,1
33510A690B2226,08:00:00,22:05:00,3600,1
33510A690B2154,08:00:00,22:05:00,3600,1
34168A692B2163,09:00:00,20:05:00,3600,1
34168A692B2141,09:00:00,20:05:00,3600,1
34168A692B2139,09:00:00,20:05:00,3600,1
33518A694B2161,08:00:00,20:05:00,3600,1
33536A694B2161,07:20:00,21:15:00,600,0
33532A692B2163,08:20:00,21:15:00,600,0
33532A692B2141,08:20:00,21:15:00,600,0
33532A692B2139,08:20:00,21:15:00,600,0
42224A652B999,19:00:00,21:05:00,3600,1
33955A652B999,09:00:00,18:05:00,3600,1
34128A688B2229,06:30:00,23:05:00,1800,1
34128A688B2159,06:30:00,23:05:00,1800,1
34128A688B2158,06:30:00,23:05:00,1800,1
34121A688B2229,06:40:00,22:45:00,3600,1
34121A688B2159,06:40:00,22:45:00,3600,1
34121A688B2158,06:40:00,22:45:00,3600,1
34122A689B2230,06:40:00,11:45:00,3600,1
34122A689B2228,06:40:00,11:45:00,3600,1
34122A689B2227,06:40:00,11:45:00,3600,1
34122A689B2224,06:40:00,11:45:00,3600,1
34122A689B2162,06:40:00,11:45:00,3600,1
34122A689B2160,06:40:00,11:45:00,3600,1
34122A689B2157,06:40:00,11:45:00,3600,1
34126A692B2163,08:40:00,20:45:00,3600,1
34126A692B2141,08:40:00,20:45:00,3600,1
34126A692B2139,08:40:00,20:45:00,3600,1
34124A693B2225,07:40:00,21:45:00,3600,1
34125A691B2156,07:40:00,23:45:00,3600,1
34125A691B2140,07:40:00,23:45:00,3600,1
34123A690B2226,07:40:00,22:45:00,3600,1
34123A690B2154,07:40:00,22:45:00,3600,1
34130A689B2230,06:30:00,24:05:00,1800,1
34130A689B2228,06:30:00,24:05:00,1800,1
34130A689B2227,06:30:00,24:05:00,1800,1
34130A689B2224,06:30:00,24:05:00,1800,1
34130A689B2162,06:30:00,24:05:00,1800,1
34130A689B2160,06:30:00,24:05:00,1800,1
34130A689B2157,06:30:00,24:05:00,1800,1
34142A688B2229,06:45:00,22:50:00,1800,1
34142A688B2159,06:45:00,22:50:00,1800,1
34142A688B2158,06:45:00,22:50:00,1800,1
40310A688B2229,06:30:00,23:15:00,1200,1
40310A688B2159,06:30:00,23:15:00,1200,1
40310A688B2158,06:30:00,23:15:00,1200,1
40324A688B2229,06:30:00,23:15:00,1200,1
40324A688B2159,06:30:00,23:15:00,1200,1
40324A688B2158,06:30:00,23:15:00,1200,1
40327A688B2229,06:30:00,23:15:00,1200,1
40327A688B2159,06:30:00,23:15:00,1200,1
40327A688B2158,06:30:00,23:15:00,1200,1
40330A688B2229,06:30:00,23:15:00,1200,1
40330A688B2159,06:30:00,23:15:00,1200,1
40330A688B2158,06:30:00,23:15:00,1200,1
40332A688B2229,06:30:00,23:15:00,1200,1
40332A688B2159,06:30:00,23:15:00,1200,1
40332A688B2158,06:30:00,23:15:00,1200,1
40345A688B2229,06:30:00,23:15:00,1200,1
40345A688B2159,06:30:00,23:15:00,1200,1
40345A688B2158,06:30:00,23:15:00,1200,1
40346A689B2230,06:30:00,24:15:00,1200,1
40346A689B2228,06:30:00,24:15:00,1200,1
40346A689B2227,06:30:00,24:15:00,1200,1
40346A689B2224,06:30:00,24:15:00,1200,1
40346A689B2162,06:30:00,24:15:00,1200,1
40346A689B2160,06:30:00,24:15:00,1200,1
40346A689B2157,06:30:00,24:15:00,1200,1
40347A694B2161,07:30:00,21:15:00,1200,1
40348A689B2230,06:30:00,24:15:00,1200,1
40348A689B2228,06:30:00,24:15:00,1200,1
40348A689B2227,06:30:00,24:15:00,1200,1
40348A689B2224,06:30:00,24:15:00,1200,1
40348A689B2162,06:30:00,24:15:00,1200,1
40348A689B2160,06:30:00,24:15:00,1200,1
40348A689B2157,06:30:00,24:15:00,1200,1
