shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4,33.778014,-117.914753,91,6.4385210111067
4,33.783344,-117.91476,92,6.8067709295209
4,33.788897,-117.914791,93,7.1904318246582
4,33.79002,-117.914829,94,7.268050580581
4,33.790163,-117.914916,95,7.2791216507463
4,33.792499,-117.914998,96,7.4405845560535
4,33.795953,-117.915078,97,7.6792656157661
4,33.796085,-117.914998,98,7.6894767109708
4,33.804324,-117.915235,99,8.25887182109
4,33.809419,-117.915274,100,8.6108924940312
4,33.809422,-117.915701,101,8.6354059963113
4,33.809492,-117.91577,102,8.6416572503977
4,33.809586,-117.915808,103,8.6485084072843
4,33.809675,-117.915839,104,8.6549095400699
4,33.809693,-117.915999,105,8.6641782327543
4,33.809664,-117.916169,106,8.6741406138667
4,33.809696,-117.91685,107,8.7132966672129
4,33.809727,-117.916979,108,8.7210055094367
5,33.805614,-117.878159,0,0
5,33.805898,-117.878117,1,0.019769169202197
5,33.806175,-117.878135,2,0.03893484267496
5,33.80618,-117.878738,3,0.073553909618114
5,33.806151,-117.881778,4,0.24808749832659
5,33.806032,-117.882577,5,0.2946880004254
5,33.805678,-117.883505,6,0.35330925039432
5,33.804182,-117.885576,7,0.51084972968996
5,33.803949,-117.885925,8,0.53655164724323
5,33.803702,-117.886439,9,0.57063962695174
5,33.803537,-117.886913,10,0.60014344058602
5,33.803471,-117.887289,11,0.62220608075507
5,33.80342,-117.888104,12,0.6691280701475
5,33.803432,-117.889111,13,0.72694632013581
5,33.804525,-117.889101,14,0.80246387931303
5,33.804527,-117.888587,15,0.83197282261491
5,33.804843,-117.888581,16,0.85380805625035
5,33.804887,-117.888543,17,0.85754991098874
5,33.804887,-117.888466,18,0.86197041193011
5,33.804888,-117.888462,19,0.86220636081499
5,33.804899,-117.888247,20,0.8745728738291
5,33.804919,-117.887848,21,0.89752094990658
5,33.80496,-117.887784,22,0.9021603614172
5,33.805062,-117.887796,23,0.90924128533787
5,33.805049,-117.888275,24,0.93675495134492
5,33.804993,-117.888536,25,0.95223007767018
5,33.80484,-117.888591,26,0.9632621074255
5,33.804529,-117.888582,27,0.98475532194423
5,33.804519,-117.88781,28,1.0290809905635
5,33.804332,-117.887186,29,1.0671632611886
5,33.804181,-117.887019,30,1.0813322323874
5,33.803945,-117.886899,31,1.0990331171019
5,33.803802,-117.886913,32,1.1089457787841
5,33.803568,-117.8868,33,1.1263657948318
5,33.803433,-117.887667,34,1.1770069683978
5,33.803432,-117.8899,35,1.3052044541778
5,33.803433,-117.890123,36,1.3180072633119
5,33.803345,-117.890323,37,1.3309997260442
5,33.803334,-117.893546,38,1.5160352584255
5,33.803359,-117.897592,39,1.7483244490974
5,33.803412,-117.897886,40,1.7655957221271
5,33.803428,-117.90046,41,1.9133742873346
5,33.803425,-117.910647,42,2.498214256205
5,33.803387,-117.915212,43,2.7603060303791
5,33.809429,-117.915281,44,3.1777666050592
5,33.809421,-117.915733,45,3.2037201780121
5,33.809483,-117.91579,46,3.2091109775276
5,33.809592,-117.915818,47,3.2168116909173
5,33.809666,-117.915868,48,3.2226749138876
5,33.809686,-117.916006,49,3.2307166701186
5,33.809686,-117.916834,50,3.2782490253718
5,33.809719,-117.916994,51,3.2877127524895
6,33.809706,-117.917011,0,0
6,33.809613,-117.91687,1,0.010334386079953
6,33.809609,-117.916154,2,0.051438153093921
6,33.809391,-117.916148,3,0.066503586396345
6,33.80934,-117.915983,4,0.076609528065825
6,33.809315,-117.915839,5,0.085054388840792
6,33.809315,-117.915345,6,0.11341307441896
6,33.803257,-117.915377,7,0.53196432131768
6,33.803233,-117.904188,8,1.174332994443
6,33.803276,-117.897886,9,1.5361463769236
6,33.803348,-117.897761,10,1.5448780797678
6,33.803352,-117.89703,11,1.5868460264318
6,33.803345,-117.890323,12,1.971898355057
6,33.803282,-117.890111,13,1.9848243652372
6,33.803255,-117.887714,14,2.1224500348194
6,33.803285,-117.887257,15,2.148768385198
6,33.8034,-117.886725,16,2.1803273754634
6,33.803207,-117.886615,17,2.1950816112861
6,33.801998,-117.886577,18,2.2786399198947
6,33.801843,-117.886483,19,2.290631747775
6,33.801777,-117.886293,20,2.3024545293157
6,33.801797,-117.884982,21,2.3777337335421
6,33.801855,-117.884825,22,2.3875978362261
6,33.803364,-117.884835,23,2.4918562270689
6,33.803822,-117.884897,24,2.5236990020906
6,33.803932,-117.884844,25,2.5318852723687
6,33.80401,-117.884714,26,2.5410906813588
6,33.804016,-117.883872,27,2.5894316718651
6,33.803838,-117.88331,28,2.6239604654566
6,33.803563,-117.882945,29,2.6522463603406
6,33.80349,-117.882758,30,2.6641079263972
6,33.803563,-117.882945,31,2.6759694924539
6,33.803838,-117.88331,32,2.7042553873378
6,33.804077,-117.88409,33,2.7519827204463
6,33.804087,-117.884491,34,2.7750144922866
6,33.803932,-117.884844,35,2.7979357151029
6,33.803783,-117.884898,36,2.8086866115368
6,33.803364,-117.884835,37,2.8378604293277
6,33.801855,-117.884825,38,2.9421188201706
6,33.801797,-117.884982,39,2.9519829228545
6,33.801777,-117.886293,40,3.027262127081
6,33.801843,-117.886483,41,3.0390849086216
6,33.801998,-117.886577,42,3.0510767365019
6,33.803441,-117.88662,43,3.1508041899366
6,33.803608,-117.886692,44,3.1630601958593
6,33.803512,-117.887039,45,3.1840566639017
6,33.803433,-117.887667,46,3.2205212644475
6,33.803433,-117.890123,47,3.361521256138
6,33.803345,-117.890323,48,3.3745137188703
6,33.803348,-117.897761,49,3.8015328594095
6,33.803412,-117.897886,50,3.8099620487
6,33.803422,-117.901391,51,4.0111867672709
6,33.803398,-117.904008,52,4.1614390190229
6,33.803413,-117.90663,53,4.3119727433588
6,33.803408,-117.910013,54,4.5061925294117
6,33.803349,-117.915205,55,4.8042954633016
6,33.809416,-117.91533,56,5.2235259154499
6,33.809422,-117.915661,57,5.2425318873853
6,33.809465,-117.91576,58,5.2489449676592
6,33.809651,-117.915778,59,5.2618371508187
6,33.809687,-117.91587,60,5.2676753959531
6,33.809693,-117.917011,61,5.3331771926152
7,33.854106,-117.840333,0,0
7,33.854806,-117.840102,1,0.050146250697346
7,33.854765,-117.839886,2,0.062859194350149
7,33.854851,-117.839077,3,0.10965509943599
7,33.853968,-117.838899,4,0.17151050704923
7,33.853856,-117.838051,5,0.2207773037464
7,33.853843,-117.837277,6,0.26519585635364
7,33.855591,-117.837174,7,0.38610967477989
7,33.855667,-117.840055,8,0.55149149797391
7,33.855503,-117.840999,9,0.60682638494131
7,33.854823,-117.842956,10,0.7285431820441
7,33.852424,-117.852481,11,1.2996375570115
7,33.851152,-117.85756,12,1.6040229642626
7,33.849561,-117.863666,13,1.9712177010577
7,33.848281,-117.86885,14,2.2815427389925
7,33.847743,-117.870756,15,2.3970539067424
7,33.847307,-117.87357,16,2.5613093293745
7,33.847321,-117.8799,17,2.9245320855367
7,33.847313,-117.888544,18,3.420533384754
7,33.847261,-117.889858,19,3.4960175319658
7,33.847288,-117.900594,20,4.1120626129341
7,33.847293,-117.909696,21,4.6343443573052
7,33.84726,-117.917751,22,5.0965538034695
7,33.833872,-117.913347,23,6.0554347029033
7,33.83339,-117.913202,24,6.0897600455967
7,33.83254,-117.917071,25,6.319439022997
7,33.832064,-117.918941,26,6.4316860478931
7,33.83138,-117.918696,27,6.4809910381825
7,33.829788,-117.918149,28,6.5953747283571
7,33.831969,-117.908694,29,7.1585493439797
7,33.824043,-117.906063,30,7.7265949678571
7,33.824686,-117.903179,31,7.8979837780162
7,33.825741,-117.898588,32,8.1713834141922
7,33.818096,-117.896066,33,8.7190536714295
7,33.818092,-117.898431,34,8.854806324611
7,33.818093,-117.898484,35,8.8578497451234
7,33.818088,-117.907704,36,9.3870831929179
7,33.818141,-117.90807,37,9.4084085215045
7,33.818143,-117.913016,38,9.6923116457854
7,33.818193,-117.915446,39,9.8318377101302
7,33.816448,-117.915469,40,9.9524069987023
7,33.813145,-117.915381,41,10.180667172776
7,33.810661,-117.91545,42,10.352332432188
7,33.809415,-117.915447,43,10.438418739331
7,33.809421,-117.915679,44,10.451743585725
7,33.80948,-117.915749,45,10.457467474192
7,33.809595,-117.915788,46,10.465722313776
7,33.809678,-117.915815,47,10.471662183437
